SMILES,nHBDon,ALogP,nRotB,nAtomLC,XLogP,MLogP,nB,LipinskiFailures,AMR,nAtom,nAtomP,ALogp2,naAromAtom,nAromBond,nAtomLAC
InChI%3D1S%2FC7H5Cl2NO%2Fc8-4-2-1-3-5%289%296%284%297%2810%2911%2Fh1-3H%2C%28H2%2C10%2C11%29,2.0,1.40699994564056,1.0,3.0,2.63100004196167,1.78999996185303,11.0,0.0,19.7075996398926,16.0,9.0,1.97964894771576,6.0,6.0,0.0
InChI%3D1S%2FC19H12O6%2Fc20-16-10-5-1-3-7-14%2810%2924-18%2822%2912%2816%299-13-17%2821%2911-6-2-4-8-15%2811%2925-19%2813%2923%2Fh1-8%2C20-21H%2C9H2,2.0,0.091399997472763,2.0,0.0,-0.104000002145767,2.89000010490417,28.0,0.0,94.743797302246,41.0,9.0,0.00835395976901054,12.0,12.0,0.0
InChI%3D1S%2FC2H2ClN%2Fc3-1-2-4%2Fh1H2,0.0,0.577199995517731,0.0,4.0,0.26800000667572,1.46000003814697,3.0,0.0,16.37619972229,6.0,2.0,0.3331598341465,0.0,0.0,2.0
InChI%3D1S%2FC7H5NO4%2Fc9-6%2810%294-2-1-3-5%288-4%297%2811%2912%2Fh1-3H%2C%28H%2C9%2C10%29%28H%2C11%2C12%29,2.0,-0.203099995851517,2.0,3.0,-0.569000005722046,1.67999994754791,12.0,0.0,40.9314994812012,17.0,12.0,0.0412496104836464,6.0,6.0,0.0
InChI%3D1S%2FC12H10O%2Fc13-12-9-5-4-8-11%2812%2910-6-2-1-3-7-10%2Fh1-9%2C13H,1.0,1.85249996185303,1.0,0.0,2.57100009918213,2.67000007629395,14.0,0.0,61.0769004821777,23.0,13.0,3.43175625801086,12.0,12.0,0.0
InChI%3D1S%2FC13H29NO4%2Fc1-6-15-12%2816-7-2%2910-14%285%2911-13%2817-8-3%2918-9-4%2Fh12-13H%2C6-11H2%2C1-5H3,0.0,0.924300014972687,2.0,5.0,0.833999991416931,1.35000002384186,4.0,0.0,22.2912998199463,9.0,0.0,0.854330480098724,0.0,0.0,0.0
InChI%3D1S%2FC10H12O%2Fc1-8%282%2910-5-3-9%287-11%294-6-10%2Fh3-8H%2C1-2H3,0.0,1.39269995689392,2.0,3.0,2.42300009727478,2.45000004768372,11.0,0.0,49.0773010253906,23.0,8.0,1.93961334228516,6.0,6.0,3.0
InChI%3D1S%2FC7H14O%2Fc1-4-6%282%297%283%295-8%2Fh5-7H%2C4H2%2C1-3H3,0.0,-0.000899999984540045,3.0,8.0,2.52600002288818,2.11999988555908,7.0,0.0,32.9935989379883,22.0,1.0,8.10000017281709e-07,0.0,0.0,5.0
InChI%3D1S%2FC16H25NO2%2Fc1-3-4-5-6-7-10-13-19-16-12-9-8-11-15%2816%2917-14%282%2918%2Fh8-9%2C11-12H%2C3-7%2C10%2C13H2%2C1-2H3%2C%28H%2C17%2C18%29,1.0,-1.3811000585556,9.0,9.0,4.56300020217896,2.89000010490417,19.0,0.0,73.2116012573242,44.0,10.0,1.90743720531464,6.0,6.0,8.0
InChI%3D1S%2FC4H9Br%2Fc1-2-3-4-5%2Fh2-4H2%2C1H3,0.0,0.375699996948242,2.0,5.0,2.66300010681152,1.78999996185303,4.0,0.0,25.0331993103027,14.0,0.0,0.141150489449501,0.0,0.0,4.0
InChI%3D1S%2FC9H16O2%2Fc1-3-5-6-7-8-11-9%2810%294-2%2Fh4H%2C2-3%2C5-8H2%2C1H3,0.0,-0.57940000295639,7.0,11.0,3.02099990844727,2.23000001907349,10.0,0.0,38.6211013793945,27.0,5.0,0.335704356431961,0.0,0.0,6.0
InChI%3D1S%2FC10H22N2%2Fc1-9%282%2C11%298-4-6-10%283%2C12%297-5-8%2Fh8H%2C4-7%2C11-12H2%2C1-3H3,2.0,-0.0348000004887581,1.0,4.0,1.442999958992,2.33999991416931,12.0,0.0,50.8577003479004,34.0,0.0,0.00121103995479643,0.0,0.0,3.0
InChI%3D1S%2FC12H8F2O%2Fc13-9-1-5-11%286-2-9%2915-12-7-3-10%2814%294-8-12%2Fh1-8H,0.0,1.5786999464035,2.0,0.0,1.97300004959106,2.45000004768372,16.0,0.0,62.4416999816895,23.0,13.0,2.4922935962677,12.0,12.0,0.0
InChI%3D1S%2FC5H10O%2Fc1-2-3-4-5-6%2Fh5H%2C2-4H2%2C1H3,0.0,-0.682299971580505,3.0,6.0,1.72500002384186,1.89999997615814,5.0,0.0,22.5650005340576,16.0,1.0,0.465533286333084,0.0,0.0,5.0
InChI%3D1S%2FC8H10N2O3%2Fc1-2-13-6-3-4-7%289%298%285-6%2910%2811%2912%2Fh3-5H%2C2%2C9H2%2C1H3,1.0,-0.597899973392487,3.0,3.0,2.49000000953674,1.78999996185303,13.0,0.0,18.7175006866455,23.0,11.0,0.357484400272369,6.0,6.0,2.0
InChI%3D1S%2FC8H18S2%2Fc1-9-7-5-3-4-6-8-10-2%2Fh3-8H2%2C1-2H3,0.0,0.256999999284744,7.0,10.0,3.71399998664856,2.11999988555908,9.0,0.0,48.0512008666992,28.0,0.0,0.0660490021109581,0.0,0.0,6.0
InChI%3D1S%2FC3H7Br%2Fc1-2-3-4%2Fh2-3H2%2C1H3,0.0,0.663699984550476,1.0,4.0,2.09400010108948,1.67999994754791,3.0,0.0,22.1215991973877,11.0,0.0,0.440497696399689,0.0,0.0,3.0
InChI%3D1S%2FC6H12%2Fc1-2-4-6-5-3-1%2Fh1-6H2,0.0,-1.72800004482269,0.0,0.0,3.41400003433228,2.11999988555908,6.0,0.0,17.4696006774902,18.0,0.0,2.98598408699036,0.0,0.0,0.0
InChI%3D1S%2FC3H5N%2Fc1-2-3-4%2Fh2H2%2C1H3,0.0,0.120800003409386,0.0,4.0,0.284000009298325,1.67999994754791,3.0,0.0,16.6464996337891,9.0,1.0,0.0145926401019096,0.0,0.0,3.0
InChI%3D1S%2FC5H4ClNO%2Fc6-5-4%288%292-1-3-7-5%2Fh1-3%2C8H,1.0,0.726499974727631,0.0,0.0,0.824000000953674,1.67999994754791,8.0,0.0,33.8956985473633,12.0,7.0,0.527802228927612,6.0,6.0,0.0
InChI%3D1S%2FC12H17NO%2Fc1-4-13%285-2%2912%2814%2911-8-6-7-10%283%299-11%2Fh6-9H%2C4-5H2%2C1-3H3,0.0,1.72479999065399,4.0,7.0,2.15199995040894,2.55999994277954,14.0,0.0,61.4402008056641,31.0,9.0,2.97493505477905,6.0,6.0,2.0
InChI%3D1S%2FC5H12O%2Fc1-5%282%2C3%296-4%2Fh1-4H3,0.0,0.981800019741058,1.0,6.0,1.32000005245209,1.89999997615814,5.0,0.0,26.8162994384766,18.0,0.0,0.963931262493134,0.0,0.0,0.0
InChI%3D1S%2FC12H10N2O%2Fc15-12-8-6-11%287-9-12%2914-13-10-4-2-1-3-5-10%2Fh1-9%2C15H%2Fb14-13-,1.0,1.35010004043579,2.0,2.0,2.50799989700317,2.45000004768372,16.0,0.0,62.1725006103516,25.0,15.0,1.82276999950409,12.0,12.0,0.0
InChI%3D1S%2FC4H6Cl2%2Fc1-4%282-5%293-6%2Fh1-3H2,0.0,2.02369999885559,2.0,6.0,1.47800004482269,1.67999994754791,5.0,0.0,29.5827007293701,12.0,2.0,4.09536170959473,0.0,0.0,3.0
InChI%3D1S%2FC10H19O6PS2%2Fc1-5-15-9%2811%297-8%2810%2812%2916-6-2%2919-17%2818%2C13-3%2914-4%2Fh8H%2C5-7H2%2C1-4H3,0.0,1.96410000324249,11.0,19.0,2.00699996948242,1.57000005245209,18.0,1.0,77.2726974487305,38.0,4.0,3.85768890380859,0.0,0.0,4.0
InChI%3D1S%2FC10H16%2Fc1-7-2-9-4-8%281%295-10%283-7%296-9%2Fh7-10H%2C1-6H2,0.0,-0.850000023841858,0.0,0.0,4.76599979400635,2.55999994277954,12.0,0.0,40.4035987854004,26.0,0.0,0.722500026226044,0.0,0.0,0.0
InChI%3D1S%2FC8H12N2%2Fc9-7-5-3-1-2-4-6-8-10%2Fh1-6H2,0.0,-1.01300001144409,5.0,10.0,1.36600005626678,2.11999988555908,9.0,0.0,33.1419982910156,22.0,2.0,1.02616894245148,0.0,0.0,8.0
InChI%3D1S%2FC8H6Cl2O%2Fc1-5%2811%297-3-2-6%289%294-8%287%2910%2Fh2-4H%2C1H3,0.0,1.69130003452301,1.0,3.0,1.76499998569489,2.00999999046326,11.0,0.0,49.9384994506836,17.0,8.0,2.86049580574036,6.0,6.0,2.0
InChI%3D1S%2FC6H12O%2Fc1-3-4-5-6%282%297%2Fh3-5H2%2C1-2H3,0.0,-0.743799984455109,3.0,7.0,1.57599997520447,2.00999999046326,6.0,0.0,27.0415000915527,19.0,1.0,0.553238451480865,0.0,0.0,6.0
InChI%3D1S%2FC12H11N%2Fc1-3-7-11%288-4-1%2913-12-9-5-2-6-10-12%2Fh1-10%2C13H,1.0,1.49279999732971,2.0,0.0,1.89400005340576,2.67000007629395,14.0,0.0,63.867000579834,24.0,13.0,2.2284517288208,12.0,12.0,0.0
InChI%3D1S%2FC9H12O%2Fc1-6-4-7%282%299%2810%298%283%295-6%2Fh4-5%2C10H%2C1-3H3,1.0,2.17950010299683,0.0,0.0,1.70000004768372,2.33999991416931,10.0,0.0,45.407299041748,22.0,7.0,4.75022029876709,6.0,6.0,0.0
InChI%3D1S%2FC8H19O2PS3%2Fc1-4-9-11%2812%2C10-5-2%2914-8-7-13-6-3%2Fh4-8H2%2C1-3H3,0.0,3.03049993515015,9.0,14.0,4.16699981689453,1.67999994754791,13.0,0.0,72.6323013305664,33.0,4.0,9.18393039703369,0.0,0.0,2.0
InChI%3D1S%2FC12H16O%2Fc13-12-9-5-4-8-11%2812%2910-6-2-1-3-7-10%2Fh1-3%2C6-7%2C11-13H%2C4-5%2C8-9H2%2Ft11%3F%2C12-%2Fm1%2Fs1,1.0,-0.217399999499321,1.0,0.0,2.51300001144409,2.67000007629395,14.0,0.0,51.6875991821289,29.0,6.0,0.0472627617418766,6.0,6.0,0.0
InChI%3D1S%2FC9H9N%2Fc1-4-7-10%288-5-2%299-6-3%2Fh1-3H%2C7-9H2,0.0,2.34270000457764,3.0,10.0,0.866999983787537,2.33999991416931,9.0,0.0,40.3272018432617,19.0,2.0,5.48824310302734,0.0,0.0,3.0
InChI%3D1S%2FC4H11NO%2Fc1-2-5-3-4-6%2Fh5-6H%2C2-4H2%2C1H3,2.0,-0.504800021648407,3.0,6.0,-0.462000012397766,1.67999994754791,5.0,0.0,25.2794990539551,17.0,0.0,0.25482302904129,0.0,0.0,2.0
InChI%3D1S%2FC6H10%2Fc1-3-5-6-4-2%2Fh3-6H%2C1-2H3,0.0,1.81459999084473,1.0,6.0,3.00399994850159,2.11999988555908,5.0,0.0,32.1021995544434,16.0,4.0,3.29277324676514,0.0,0.0,6.0
InChI%3D1S%2FC8H18S2%2Fc1-7%282%2C3%299-10-8%284%2C5%296%2Fh1-6H3,0.0,3.24839997291565,3.0,10.0,3.66599988937378,2.11999988555908,9.0,0.0,54.5880012512207,28.0,0.0,10.5521020889282,0.0,0.0,3.0
InChI%3D1S%2FC13H8Cl2O2%2Fc14-12-5-4-11%287-13%2812%2915%2917-10-3-1-2-9%286-10%298-16%2Fh1-8H,0.0,2.1085000038147,3.0,2.0,2.5090000629425,2.45000004768372,18.0,0.0,76.6922988891602,25.0,15.0,4.44577217102051,12.0,12.0,0.0
InChI%3D1S%2FC10H15N%2Fc1-2-3-4-9-5-7-10%2811%298-6-9%2Fh5-8H%2C2-4%2C11H2%2C1H3,1.0,-0.451200008392334,3.0,4.0,2.52900004386902,2.45000004768372,11.0,0.0,49.8727989196777,26.0,7.0,0.203581437468529,6.0,6.0,4.0
InChI%3D1S%2FC14H18O4%2Fc1-3-17-13%2815%2912%2814%2816%2918-4-2%2910-11-8-6-5-7-9-11%2Fh5-9%2C12H%2C3-4%2C10H2%2C1-2H3,0.0,1.90750002861023,8.0,12.0,2.86299991607666,2.55999994277954,18.0,0.0,70.6763000488281,36.0,6.0,3.63855624198914,6.0,6.0,3.0
InChI%3D1S%2FC14H26O4%2Fc1-3-5-11-17-13%2815%299-7-8-10-14%2816%2918-12-6-4-2%2Fh3-12H2%2C1-2H3,0.0,-1.71480000019073,13.0,18.0,3.34800004959106,2.55999994277954,17.0,1.0,60.3731994628906,44.0,3.0,2.94053912162781,0.0,0.0,6.0
InChI%3D1S%2FC8H14O%2Fc1-7%282%295-4-6-8%283%299%2Fh5H%2C4%2C6H2%2C1-3H3,0.0,1.59270000457764,3.0,9.0,1.7960000038147,2.23000001907349,8.0,0.0,39.8740997314453,23.0,2.0,2.53669333457947,0.0,0.0,7.0
InChI%3D1S%2FC7H15Br%2Fc1-2-3-4-5-6-7-8%2Fh2-7H2%2C1H3,0.0,-0.488299995660782,5.0,8.0,4.36999988555908,2.11999988555908,7.0,0.0,33.7680015563965,23.0,0.0,0.23843689262867,0.0,0.0,7.0
InChI%3D1S%2FC15H24O%2Fc1-2-3-4-5-6-7-8-9-14-10-12-15%2816%2913-11-14%2Fh10-13%2C16H%2C2-9H2%2C1H3,1.0,-1.25759994983673,8.0,9.0,5.78499984741211,3.0,16.0,1.0,62.486499786377,40.0,7.0,1.5815577507019,6.0,6.0,9.0
InChI%3D1S%2FC8H9NO2%2Fc1-6%2810%299-7-4-2-3-5-8%287%2911%2Fh2-5%2C11H%2C1H3%2C%28H%2C9%2C10%29,2.0,0.321799993515015,1.0,4.0,0.61599999666214,2.00999999046326,11.0,0.0,45.7897987365723,20.0,10.0,0.103555239737034,6.0,6.0,2.0
InChI%3D1S%2FC5H10O%2Fc1-5%282%293-4-6%2Fh4-5H%2C3H2%2C1-2H3,0.0,0.415300011634827,2.0,6.0,1.66400003433228,1.89999997615814,5.0,0.0,25.1109008789062,16.0,1.0,0.172474086284637,0.0,0.0,4.0
InChI%3D1S%2FC17H19NO3%2Fc19-17%2818-10-4-1-5-11-18%297-3-2-6-14-8-9-15-16%2812-14%2921-13-20-15%2Fh2-3%2C6-9%2C12H%2C1%2C4-5%2C10-11%2C13H2%2Fb6-2-%2C7-3-,0.0,-0.635200023651123,4.0,6.0,2.51799988746643,2.89000010490417,23.0,0.0,82.0260009765625,40.0,15.0,0.403479039669037,6.0,6.0,5.0
InChI%3D1S%2FC9H10O4%2Fc1-12-6-3-8%2811%297%285-10%299%284-6%2913-2%2Fh3-5%2C11H%2C1-2H3,1.0,-0.544900000095367,3.0,2.0,1.25800001621246,2.00999999046326,13.0,0.0,50.9221000671387,23.0,11.0,0.296916007995605,6.0,6.0,0.0
InChI%3D1S%2FC5H4N2O3%2Fc8-4-2-1-3-6-5%284%297%289%2910%2Fh1-3%2C8H,1.0,-0.506900012493134,1.0,2.0,1.35899996757507,1.46000003814697,10.0,0.0,5.45039987564087,14.0,10.0,0.256947606801987,6.0,6.0,0.0
InChI%3D1S%2FC13H13NO%2Fc14-12-7-4-8-13%289-12%2915-10-11-5-2-1-3-6-11%2Fh1-9H%2C10%2C14H2,1.0,0.825200021266937,3.0,2.0,1.65600001811981,2.67000007629395,16.0,0.0,69.9002990722656,28.0,8.0,0.680955052375793,12.0,12.0,0.0
InChI%3D1S%2FC12H27N%2Fc1-3-5-7-9-11-13-12-10-8-6-4-2%2Fh13H%2C3-12H2%2C1-2H3,1.0,-2.59859991073608,10.0,13.0,4.80000019073486,2.67000007629395,12.0,0.0,47.8146018981934,40.0,0.0,6.75272178649902,0.0,0.0,6.0
InChI%3D1S%2FC7H14N2O2S%2Fc1-7%282%2C12-4%295-9-11-6%2810%298-3%2Fh5H%2C1-4H3%2C%28H%2C8%2C10%29,1.0,1.48800003528595,4.0,12.0,2.26799988746643,1.67999994754791,11.0,0.0,50.0533981323242,26.0,6.0,2.21414399147034,0.0,0.0,3.0
InChI%3D1S%2FC8H16O%2Fc1-3-4-5-6-7-8%282%299%2Fh3-7H2%2C1-2H3,0.0,-1.31980001926422,5.0,9.0,2.71399998664856,2.23000001907349,8.0,0.0,32.8647003173828,25.0,1.0,1.74187207221985,0.0,0.0,8.0
InChI%3D1S%2FC4H8O%2Fc1-2-4-5-3-1%2Fh1-4H2,0.0,-0.706900000572205,0.0,0.0,0.526000022888184,1.78999996185303,5.0,0.0,16.86669921875,13.0,0.0,0.499707609415054,0.0,0.0,0.0
InChI%3D1S%2FC10H22S2%2Fc1-3-7-11-9-5-6-10-12-8-4-2%2Fh3-10H2%2C1-2H3,0.0,0.178200006484985,9.0,12.0,4.42999982833862,2.33999991416931,11.0,0.0,57.8796005249023,34.0,0.0,0.0317552387714386,0.0,0.0,4.0
InChI%3D1S%2FC6H8N2%2Fc7-5-3-1-2-4-6-8%2Fh1-4H2,0.0,-0.437000006437302,3.0,8.0,0.228000000119209,1.89999997615814,7.0,0.0,27.3187999725342,16.0,2.0,0.190969005227089,0.0,0.0,6.0
InChI%3D1S%2FC3HBr3N2%2Fc4-1-2%285%298-3%286%297-1%2Fh%28H%2C7%2C8%29,2.0,2.13579988479614,0.0,0.0,1.71099996566772,1.24000000953674,8.0,0.0,42.9810981750488,13.0,0.0,4.56164169311523,0.0,0.0,0.0
InChI%3D1S%2FC12H10O3%2Fc13-9-1-5-11%286-2-9%2915-12-7-3-10%2814%294-8-12%2Fh1-8%2C13-14H,2.0,0.63289999961853,2.0,0.0,1.5789999961853,2.45000004768372,16.0,0.0,65.397102355957,25.0,15.0,0.400562405586243,12.0,12.0,0.0
InChI%3D1S%2FC7H6O2%2Fc8-5-6-3-1-2-4-7%286%299%2Fh1-5%2C9H,1.0,0.452300012111664,1.0,2.0,0.989000022411346,2.00999999046326,9.0,0.0,37.6351013183594,15.0,9.0,0.204575285315514,6.0,6.0,0.0
InChI%3D1S%2FC7H5BrO2%2Fc8-6-1-2-7%2810%295%283-6%294-9%2Fh1-4%2C10H,1.0,0.90499997138977,1.0,2.0,1.53100001811981,1.89999997615814,10.0,0.0,45.1693000793457,15.0,9.0,0.819024980068207,6.0,6.0,0.0
InChI%3D1S%2FC9H16O%2Fc1-5-9%284%2C10%297-6-8%282%293%2Fh1%2C8%2C10H%2C6-7H2%2C2-4H3,1.0,1.54330003261566,3.0,10.0,2.40899991989136,2.33999991416931,9.0,0.0,41.535701751709,26.0,2.0,2.38177490234375,0.0,0.0,7.0
InChI%3D1S%2FC7H8O%2Fc1-6-2-4-7%288%295-3-6%2Fh2-5%2C8H%2C1H3,1.0,1.28670001029968,0.0,0.0,1.33800005912781,2.11999988555908,8.0,0.0,36.8432998657227,16.0,7.0,1.65559685230255,6.0,6.0,0.0
InChI%3D1S%2FC8H8O%2Fc1-7-4-2-3-5-8%287%296-9%2Fh2-6H%2C1H3,0.0,1.4617999792099,1.0,1.0,1.45500004291534,2.23000001907349,9.0,0.0,40.3115997314453,17.0,8.0,2.13685917854309,6.0,6.0,0.0
InChI%3D1S%2FC8H7ClO2%2Fc1-11-8%2810%296-2-4-7%289%295-3-6%2Fh2-5H%2C1H3,0.0,1.58770000934601,2.0,4.0,1.24699997901917,2.00999999046326,11.0,0.0,46.440299987793,18.0,9.0,2.52079129219055,6.0,6.0,0.0
InChI%3D1S%2FC9H14O3%2Fc1-7%282%299%2810%2912-6-8-4-3-5-11-8%2Fh8H%2C1%2C3-6H2%2C2H3,0.0,0.305500000715256,4.0,7.0,1.06700003147125,2.11999988555908,12.0,0.0,40.9855003356934,26.0,5.0,0.0933302491903305,0.0,0.0,3.0
InChI%3D1S%2FC7H4F3NO3%2Fc8-7%289%2C10%295-3-4%2812%291-2-6%285%2911%2813%2914%2Fh1-3%2C12H,1.0,0.591199994087219,2.0,3.0,2.83400011062622,1.46000003814697,14.0,0.0,11.8850002288818,18.0,10.0,0.349517434835434,6.0,6.0,0.0
InChI%3D1S%2FC7H6O3.Na%2Fc8-6-4-2-1-3-5%286%297%289%2910%3B%2Fh1-4%2C8H%2C%28H%2C9%2C10%29%3B%2Fq%3B%2B1%2Fp-1,1.0,,1.0,3.0,1.71000003814697,1.78999996185303,10.0,0.0,,16.0,10.0,,6.0,6.0,0.0
InChI%3D1S%2FC3H6Br2O%2Fc4-1-3%285%292-6%2Fh3%2C6H%2C1-2H2,1.0,1.29009997844696,2.0,6.0,1.5809999704361,1.46000003814697,5.0,0.0,32.5850982666016,12.0,0.0,1.6643580198288,0.0,0.0,3.0
InChI%3D1S%2FC2HCl5%2Fc3-1%284%292%285%2C6%297%2Fh1H,0.0,2.88779997825623,1.0,7.0,3.22900009155273,1.12999999523163,6.0,0.0,36.3208999633789,8.0,0.0,8.33938884735107,0.0,0.0,2.0
InChI%3D1S%2FC8H10O%2Fc1-2-7-3-5-8%289%296-4-7%2Fh3-6%2C9H%2C2H2%2C1H3,1.0,0.951600015163422,1.0,2.0,1.80200004577637,2.23000001907349,9.0,0.0,41.6916999816895,19.0,7.0,0.905542552471161,6.0,6.0,2.0
InChI%3D1S%2FC10H8O%2Fc11-10-7-3-5-8-4-1-2-6-9%288%2910%2Fh1-7%2C11H,1.0,1.38469994068146,0.0,0.0,1.87699997425079,2.45000004768372,12.0,0.0,50.75830078125,19.0,11.0,1.91739404201508,10.0,11.0,0.0
InChI%3D1S%2FC4H5N%2Fc1-2-3-4-5%2Fh2H%2C1%2C3H2,0.0,0.77700001001358,1.0,5.0,0.675999999046326,1.78999996185303,4.0,0.0,20.8950004577637,10.0,2.0,0.603729009628296,0.0,0.0,4.0
InChI%3D1S%2FC8H4F3N%2Fc9-8%2810%2C11%297-3-1-2-6%284-7%295-12%2Fh1-4H,0.0,2.14499998092651,1.0,3.0,1.54799997806549,1.89999997615814,12.0,0.0,41.1487998962402,16.0,8.0,4.60102510452271,6.0,6.0,0.0
