SMILES,nAtom,AMR,nAtomLAC,ALogp2,naAromAtom,nAromBond,nAtomLC,ALogP,nAtomP,nRotB,MLogP,nB,XLogP
InChI%3D1S%2FC12H10S2%2Fc1-3-7-11%288-4-1%2913-14-12-9-5-2-6-10-12%2Fh1-10H,24.0,76.1539993286133,0.0,9.5753116607666,12.0,12.0,2.0,3.09439992904663,6.0,3.0,2.55999994277954,15.0,2.39199995994568
InChI%3D1S%2FC6H7N%2Fc1-6-3-2-4-7-5-6%2Fh2-5H%2C1H3,14.0,31.6683006286621,0.0,0.0272250007838011,6.0,6.0,0.0,0.165000006556511,6.0,0.0,2.00999999046326,7.0,0.140000000596046
InChI%3D1S%2FC6H7ClN.HI%2Fc1-8-5-3-2-4-6%288%297%3B%2Fh2-5H%2C1H3%3B1H%2Fq%2B1%3B%2Fp-1,17.0,,0.0,,0.0,6.0,0.0,,0.0,0.0,1.78999996185303,8.0,2.8989999294281
InChI%3D1S%2FC8H10O2%2Fc9-6-7-10-8-4-2-1-3-5-8%2Fh1-5%2C9H%2C6-7H2,20.0,43.8916015625,2.0,0.133517161011696,6.0,6.0,4.0,0.365399986505508,7.0,3.0,2.11999988555908,10.0,0.558000028133392
InChI%3D1S%2FC18H39O7P%2Fc1-4-7-10-20-13-16-23-26%2819%2C24-17-14-21-11-8-5-2%2925-18-15-22-12-9-6-3%2Fh4-18H2%2C1-3H3,65.0,93.4414978027344,4.0,4.12374258041382,0.0,0.0,26.0,-2.03069996833801,5.0,21.0,2.55999994277954,25.0,2.78999996185303
InChI%3D1S%2FC9H10O3%2Fc1-11-8-4-3-7%286-10%299%285-8%2912-2%2Fh3-6H%2C1-2H3,22.0,49.3166007995605,0.0,0.000331240007653832,6.0,6.0,2.0,0.0182000007480383,10.0,3.0,2.11999988555908,12.0,0.910000026226044
InChI%3D1S%2FC2Cl6%2Fc3-1%284%2C5%292%286%2C7%298,8.0,41.8779983520508,2.0,11.4000768661499,0.0,0.0,8.0,3.37639999389648,0.0,1.0,1.01999998092651,7.0,3.88199996948242
InChI%3D1S%2FC5H8F4O%2Fc1-4%282%2C10%295%288%2C9%293%286%297%2Fh3%2C10H%2C1-2H3,18.0,26.5454998016357,4.0,1.5109326839447,0.0,0.0,10.0,1.22920000553131,0.0,2.0,1.46000003814697,9.0,2.16799998283386
InChI%3D1S%2FC15H24O%2Fc1-10-8-11%2814%282%2C3%294%2913%2816%2912%289-10%2915%285%2C6%297%2Fh8-9%2C16H%2C1-7H3,40.0,72.6567001342773,0.0,16.0632629394531,6.0,6.0,3.0,4.00790023803711,7.0,2.0,3.0,16.0,4.46000003814697
InChI%3D1S%2FC6H6O2%2Fc7-5-3-1-2-4-6%285%298%2Fh1-4%2C7-8H,14.0,34.1668014526367,0.0,0.076839841902256,6.0,6.0,0.0,0.277200013399124,8.0,0.0,1.89999997615814,8.0,1.08299994468689
InChI%3D1S%2FC7H5Cl2NO%2Fc8-4-2-1-3-5%289%296%284%297%2810%2911%2Fh1-3H%2C%28H2%2C10%2C11%29,16.0,19.7075996398926,0.0,1.97964894771576,6.0,6.0,3.0,1.40699994564056,9.0,1.0,1.78999996185303,11.0,2.63100004196167
InChI%3D1S%2FC19H12O6%2Fc20-16-10-5-1-3-7-14%2810%2924-18%2822%2912%2816%299-13-17%2821%2911-6-2-4-8-15%2811%2925-19%2813%2923%2Fh1-8%2C20-21H%2C9H2,41.0,94.743797302246,0.0,0.00835395976901054,12.0,12.0,0.0,0.091399997472763,9.0,2.0,2.89000010490417,28.0,-0.104000002145767
InChI%3D1S%2FC2H2ClN%2Fc3-1-2-4%2Fh1H2,6.0,16.37619972229,2.0,0.3331598341465,0.0,0.0,4.0,0.577199995517731,2.0,0.0,1.46000003814697,3.0,0.26800000667572
InChI%3D1S%2FC7H5NO4%2Fc9-6%2810%294-2-1-3-5%288-4%297%2811%2912%2Fh1-3H%2C%28H%2C9%2C10%29%28H%2C11%2C12%29,17.0,40.9314994812012,0.0,0.0412496104836464,6.0,6.0,3.0,-0.203099995851517,12.0,2.0,1.67999994754791,12.0,-0.569000005722046
InChI%3D1S%2FC12H10O%2Fc13-12-9-5-4-8-11%2812%2910-6-2-1-3-7-10%2Fh1-9%2C13H,23.0,61.0769004821777,0.0,3.43175625801086,12.0,12.0,0.0,1.85249996185303,13.0,1.0,2.67000007629395,14.0,2.57100009918213
InChI%3D1S%2FC13H29NO4%2Fc1-6-15-12%2816-7-2%2910-14%285%2911-13%2817-8-3%2918-9-4%2Fh12-13H%2C6-11H2%2C1-5H3,9.0,22.2912998199463,0.0,0.854330480098724,0.0,0.0,5.0,0.924300014972687,0.0,2.0,1.35000002384186,4.0,0.833999991416931
InChI%3D1S%2FC10H12O%2Fc1-8%282%2910-5-3-9%287-11%294-6-10%2Fh3-8H%2C1-2H3,23.0,49.0773010253906,3.0,1.93961334228516,6.0,6.0,3.0,1.39269995689392,8.0,2.0,2.45000004768372,11.0,2.42300009727478
InChI%3D1S%2FC7H14O%2Fc1-4-6%282%297%283%295-8%2Fh5-7H%2C4H2%2C1-3H3,22.0,32.9935989379883,5.0,8.10000017281709e-07,0.0,0.0,8.0,-0.000899999984540045,1.0,3.0,2.11999988555908,7.0,2.52600002288818
InChI%3D1S%2FC16H25NO2%2Fc1-3-4-5-6-7-10-13-19-16-12-9-8-11-15%2816%2917-14%282%2918%2Fh8-9%2C11-12H%2C3-7%2C10%2C13H2%2C1-2H3%2C%28H%2C17%2C18%29,44.0,73.2116012573242,8.0,1.90743720531464,6.0,6.0,9.0,-1.3811000585556,10.0,9.0,2.89000010490417,19.0,4.56300020217896
InChI%3D1S%2FC4H9Br%2Fc1-2-3-4-5%2Fh2-4H2%2C1H3,14.0,25.0331993103027,4.0,0.141150489449501,0.0,0.0,5.0,0.375699996948242,0.0,2.0,1.78999996185303,4.0,2.66300010681152
InChI%3D1S%2FC9H16O2%2Fc1-3-5-6-7-8-11-9%2810%294-2%2Fh4H%2C2-3%2C5-8H2%2C1H3,27.0,38.6211013793945,6.0,0.335704356431961,0.0,0.0,11.0,-0.57940000295639,5.0,7.0,2.23000001907349,10.0,3.02099990844727
InChI%3D1S%2FC10H22N2%2Fc1-9%282%2C11%298-4-6-10%283%2C12%297-5-8%2Fh8H%2C4-7%2C11-12H2%2C1-3H3,34.0,50.8577003479004,3.0,0.00121103995479643,0.0,0.0,4.0,-0.0348000004887581,0.0,1.0,2.33999991416931,12.0,1.442999958992
InChI%3D1S%2FC12H8F2O%2Fc13-9-1-5-11%286-2-9%2915-12-7-3-10%2814%294-8-12%2Fh1-8H,23.0,62.4416999816895,0.0,2.4922935962677,12.0,12.0,0.0,1.5786999464035,13.0,2.0,2.45000004768372,16.0,1.97300004959106
InChI%3D1S%2FC5H10O%2Fc1-2-3-4-5-6%2Fh5H%2C2-4H2%2C1H3,16.0,22.5650005340576,5.0,0.465533286333084,0.0,0.0,6.0,-0.682299971580505,1.0,3.0,1.89999997615814,5.0,1.72500002384186
InChI%3D1S%2FC8H10N2O3%2Fc1-2-13-6-3-4-7%289%298%285-6%2910%2811%2912%2Fh3-5H%2C2%2C9H2%2C1H3,23.0,18.7175006866455,2.0,0.357484400272369,6.0,6.0,3.0,-0.597899973392487,11.0,3.0,1.78999996185303,13.0,2.49000000953674
InChI%3D1S%2FC8H18S2%2Fc1-9-7-5-3-4-6-8-10-2%2Fh3-8H2%2C1-2H3,28.0,48.0512008666992,6.0,0.0660490021109581,0.0,0.0,10.0,0.256999999284744,0.0,7.0,2.11999988555908,9.0,3.71399998664856
InChI%3D1S%2FC3H7Br%2Fc1-2-3-4%2Fh2-3H2%2C1H3,11.0,22.1215991973877,3.0,0.440497696399689,0.0,0.0,4.0,0.663699984550476,0.0,1.0,1.67999994754791,3.0,2.09400010108948
InChI%3D1S%2FC6H12%2Fc1-2-4-6-5-3-1%2Fh1-6H2,18.0,17.4696006774902,0.0,2.98598408699036,0.0,0.0,0.0,-1.72800004482269,0.0,0.0,2.11999988555908,6.0,3.41400003433228
InChI%3D1S%2FC3H5N%2Fc1-2-3-4%2Fh2H2%2C1H3,9.0,16.6464996337891,3.0,0.0145926401019096,0.0,0.0,4.0,0.120800003409386,1.0,0.0,1.67999994754791,3.0,0.284000009298325
InChI%3D1S%2FC5H4ClNO%2Fc6-5-4%288%292-1-3-7-5%2Fh1-3%2C8H,12.0,33.8956985473633,0.0,0.527802228927612,6.0,6.0,0.0,0.726499974727631,7.0,0.0,1.67999994754791,8.0,0.824000000953674
InChI%3D1S%2FC12H17NO%2Fc1-4-13%285-2%2912%2814%2911-8-6-7-10%283%299-11%2Fh6-9H%2C4-5H2%2C1-3H3,31.0,61.4402008056641,2.0,2.97493505477905,6.0,6.0,7.0,1.72479999065399,9.0,4.0,2.55999994277954,14.0,2.15199995040894
InChI%3D1S%2FC5H12O%2Fc1-5%282%2C3%296-4%2Fh1-4H3,18.0,26.8162994384766,0.0,0.963931262493134,0.0,0.0,6.0,0.981800019741058,0.0,1.0,1.89999997615814,5.0,1.32000005245209
InChI%3D1S%2FC12H10N2O%2Fc15-12-8-6-11%287-9-12%2914-13-10-4-2-1-3-5-10%2Fh1-9%2C15H%2Fb14-13-,25.0,62.1725006103516,0.0,1.82276999950409,12.0,12.0,2.0,1.35010004043579,15.0,2.0,2.45000004768372,16.0,2.50799989700317
InChI%3D1S%2FC4H6Cl2%2Fc1-4%282-5%293-6%2Fh1-3H2,12.0,29.5827007293701,3.0,4.09536170959473,0.0,0.0,6.0,2.02369999885559,2.0,2.0,1.67999994754791,5.0,1.47800004482269
InChI%3D1S%2FC10H19O6PS2%2Fc1-5-15-9%2811%297-8%2810%2812%2916-6-2%2919-17%2818%2C13-3%2914-4%2Fh8H%2C5-7H2%2C1-4H3,38.0,77.2726974487305,4.0,3.85768890380859,0.0,0.0,19.0,1.96410000324249,4.0,11.0,1.57000005245209,18.0,2.00699996948242
InChI%3D1S%2FC10H16%2Fc1-7-2-9-4-8%281%295-10%283-7%296-9%2Fh7-10H%2C1-6H2,26.0,40.4035987854004,0.0,0.722500026226044,0.0,0.0,0.0,-0.850000023841858,0.0,0.0,2.55999994277954,12.0,4.76599979400635
InChI%3D1S%2FC8H12N2%2Fc9-7-5-3-1-2-4-6-8-10%2Fh1-6H2,22.0,33.1419982910156,8.0,1.02616894245148,0.0,0.0,10.0,-1.01300001144409,2.0,5.0,2.11999988555908,9.0,1.36600005626678
InChI%3D1S%2FC8H6Cl2O%2Fc1-5%2811%297-3-2-6%289%294-8%287%2910%2Fh2-4H%2C1H3,17.0,49.9384994506836,2.0,2.86049580574036,6.0,6.0,3.0,1.69130003452301,8.0,1.0,2.00999999046326,11.0,1.76499998569489
InChI%3D1S%2FC6H12O%2Fc1-3-4-5-6%282%297%2Fh3-5H2%2C1-2H3,19.0,27.0415000915527,6.0,0.553238451480865,0.0,0.0,7.0,-0.743799984455109,1.0,3.0,2.00999999046326,6.0,1.57599997520447
InChI%3D1S%2FC12H11N%2Fc1-3-7-11%288-4-1%2913-12-9-5-2-6-10-12%2Fh1-10%2C13H,24.0,63.867000579834,0.0,2.2284517288208,12.0,12.0,0.0,1.49279999732971,13.0,2.0,2.67000007629395,14.0,1.89400005340576
InChI%3D1S%2FC9H12O%2Fc1-6-4-7%282%299%2810%298%283%295-6%2Fh4-5%2C10H%2C1-3H3,22.0,45.407299041748,0.0,4.75022029876709,6.0,6.0,0.0,2.17950010299683,7.0,0.0,2.33999991416931,10.0,1.70000004768372
InChI%3D1S%2FC8H19O2PS3%2Fc1-4-9-11%2812%2C10-5-2%2914-8-7-13-6-3%2Fh4-8H2%2C1-3H3,33.0,72.6323013305664,2.0,9.18393039703369,0.0,0.0,14.0,3.03049993515015,4.0,9.0,1.67999994754791,13.0,4.16699981689453
InChI%3D1S%2FC12H16O%2Fc13-12-9-5-4-8-11%2812%2910-6-2-1-3-7-10%2Fh1-3%2C6-7%2C11-13H%2C4-5%2C8-9H2%2Ft11%3F%2C12-%2Fm1%2Fs1,29.0,51.6875991821289,0.0,0.0472627617418766,6.0,6.0,0.0,-0.217399999499321,6.0,1.0,2.67000007629395,14.0,2.51300001144409
InChI%3D1S%2FC9H9N%2Fc1-4-7-10%288-5-2%299-6-3%2Fh1-3H%2C7-9H2,19.0,40.3272018432617,3.0,5.48824310302734,0.0,0.0,10.0,2.34270000457764,2.0,3.0,2.33999991416931,9.0,0.866999983787537
InChI%3D1S%2FC4H11NO%2Fc1-2-5-3-4-6%2Fh5-6H%2C2-4H2%2C1H3,17.0,25.2794990539551,2.0,0.25482302904129,0.0,0.0,6.0,-0.504800021648407,0.0,3.0,1.67999994754791,5.0,-0.462000012397766
InChI%3D1S%2FC6H10%2Fc1-3-5-6-4-2%2Fh3-6H%2C1-2H3,16.0,32.1021995544434,6.0,3.29277324676514,0.0,0.0,6.0,1.81459999084473,4.0,1.0,2.11999988555908,5.0,3.00399994850159
InChI%3D1S%2FC8H18S2%2Fc1-7%282%2C3%299-10-8%284%2C5%296%2Fh1-6H3,28.0,54.5880012512207,3.0,10.5521020889282,0.0,0.0,10.0,3.24839997291565,0.0,3.0,2.11999988555908,9.0,3.66599988937378
InChI%3D1S%2FC13H8Cl2O2%2Fc14-12-5-4-11%287-13%2812%2915%2917-10-3-1-2-9%286-10%298-16%2Fh1-8H,25.0,76.6922988891602,0.0,4.44577217102051,12.0,12.0,2.0,2.1085000038147,15.0,3.0,2.45000004768372,18.0,2.5090000629425
InChI%3D1S%2FC10H15N%2Fc1-2-3-4-9-5-7-10%2811%298-6-9%2Fh5-8H%2C2-4%2C11H2%2C1H3,26.0,49.8727989196777,4.0,0.203581437468529,6.0,6.0,4.0,-0.451200008392334,7.0,3.0,2.45000004768372,11.0,2.52900004386902
InChI%3D1S%2FC14H18O4%2Fc1-3-17-13%2815%2912%2814%2816%2918-4-2%2910-11-8-6-5-7-9-11%2Fh5-9%2C12H%2C3-4%2C10H2%2C1-2H3,36.0,70.6763000488281,3.0,3.63855624198914,6.0,6.0,12.0,1.90750002861023,6.0,8.0,2.55999994277954,18.0,2.86299991607666
InChI%3D1S%2FC14H26O4%2Fc1-3-5-11-17-13%2815%299-7-8-10-14%2816%2918-12-6-4-2%2Fh3-12H2%2C1-2H3,44.0,60.3731994628906,6.0,2.94053912162781,0.0,0.0,18.0,-1.71480000019073,3.0,13.0,2.55999994277954,17.0,3.34800004959106
InChI%3D1S%2FC8H14O%2Fc1-7%282%295-4-6-8%283%299%2Fh5H%2C4%2C6H2%2C1-3H3,23.0,39.8740997314453,7.0,2.53669333457947,0.0,0.0,9.0,1.59270000457764,2.0,3.0,2.23000001907349,8.0,1.7960000038147
InChI%3D1S%2FC7H15Br%2Fc1-2-3-4-5-6-7-8%2Fh2-7H2%2C1H3,23.0,33.7680015563965,7.0,0.23843689262867,0.0,0.0,8.0,-0.488299995660782,0.0,5.0,2.11999988555908,7.0,4.36999988555908
InChI%3D1S%2FC15H24O%2Fc1-2-3-4-5-6-7-8-9-14-10-12-15%2816%2913-11-14%2Fh10-13%2C16H%2C2-9H2%2C1H3,40.0,62.486499786377,9.0,1.5815577507019,6.0,6.0,9.0,-1.25759994983673,7.0,8.0,3.0,16.0,5.78499984741211
InChI%3D1S%2FC8H9NO2%2Fc1-6%2810%299-7-4-2-3-5-8%287%2911%2Fh2-5%2C11H%2C1H3%2C%28H%2C9%2C10%29,20.0,45.7897987365723,2.0,0.103555239737034,6.0,6.0,4.0,0.321799993515015,10.0,1.0,2.00999999046326,11.0,0.61599999666214
InChI%3D1S%2FC5H10O%2Fc1-5%282%293-4-6%2Fh4-5H%2C3H2%2C1-2H3,16.0,25.1109008789062,4.0,0.172474086284637,0.0,0.0,6.0,0.415300011634827,1.0,2.0,1.89999997615814,5.0,1.66400003433228
InChI%3D1S%2FC17H19NO3%2Fc19-17%2818-10-4-1-5-11-18%297-3-2-6-14-8-9-15-16%2812-14%2921-13-20-15%2Fh2-3%2C6-9%2C12H%2C1%2C4-5%2C10-11%2C13H2%2Fb6-2-%2C7-3-,40.0,82.0260009765625,5.0,0.403479039669037,6.0,6.0,6.0,-0.635200023651123,15.0,4.0,2.89000010490417,23.0,2.51799988746643
InChI%3D1S%2FC9H10O4%2Fc1-12-6-3-8%2811%297%285-10%299%284-6%2913-2%2Fh3-5%2C11H%2C1-2H3,23.0,50.9221000671387,0.0,0.296916007995605,6.0,6.0,2.0,-0.544900000095367,11.0,3.0,2.00999999046326,13.0,1.25800001621246
InChI%3D1S%2FC5H4N2O3%2Fc8-4-2-1-3-6-5%284%297%289%2910%2Fh1-3%2C8H,14.0,5.45039987564087,0.0,0.256947606801987,6.0,6.0,2.0,-0.506900012493134,10.0,1.0,1.46000003814697,10.0,1.35899996757507
InChI%3D1S%2FC13H13NO%2Fc14-12-7-4-8-13%289-12%2915-10-11-5-2-1-3-6-11%2Fh1-9H%2C10%2C14H2,28.0,69.9002990722656,0.0,0.680955052375793,12.0,12.0,2.0,0.825200021266937,8.0,3.0,2.67000007629395,16.0,1.65600001811981
InChI%3D1S%2FC12H27N%2Fc1-3-5-7-9-11-13-12-10-8-6-4-2%2Fh13H%2C3-12H2%2C1-2H3,40.0,47.8146018981934,6.0,6.75272178649902,0.0,0.0,13.0,-2.59859991073608,0.0,10.0,2.67000007629395,12.0,4.80000019073486
InChI%3D1S%2FC7H14N2O2S%2Fc1-7%282%2C12-4%295-9-11-6%2810%298-3%2Fh5H%2C1-4H3%2C%28H%2C8%2C10%29,26.0,50.0533981323242,3.0,2.21414399147034,0.0,0.0,12.0,1.48800003528595,6.0,4.0,1.67999994754791,11.0,2.26799988746643
InChI%3D1S%2FC8H16O%2Fc1-3-4-5-6-7-8%282%299%2Fh3-7H2%2C1-2H3,25.0,32.8647003173828,8.0,1.74187207221985,0.0,0.0,9.0,-1.31980001926422,1.0,5.0,2.23000001907349,8.0,2.71399998664856
InChI%3D1S%2FC4H8O%2Fc1-2-4-5-3-1%2Fh1-4H2,13.0,16.86669921875,0.0,0.499707609415054,0.0,0.0,0.0,-0.706900000572205,0.0,0.0,1.78999996185303,5.0,0.526000022888184
InChI%3D1S%2FC10H22S2%2Fc1-3-7-11-9-5-6-10-12-8-4-2%2Fh3-10H2%2C1-2H3,34.0,57.8796005249023,4.0,0.0317552387714386,0.0,0.0,12.0,0.178200006484985,0.0,9.0,2.33999991416931,11.0,4.42999982833862
InChI%3D1S%2FC6H8N2%2Fc7-5-3-1-2-4-6-8%2Fh1-4H2,16.0,27.3187999725342,6.0,0.190969005227089,0.0,0.0,8.0,-0.437000006437302,2.0,3.0,1.89999997615814,7.0,0.228000000119209
InChI%3D1S%2FC3HBr3N2%2Fc4-1-2%285%298-3%286%297-1%2Fh%28H%2C7%2C8%29,13.0,42.9810981750488,0.0,4.56164169311523,0.0,0.0,0.0,2.13579988479614,0.0,0.0,1.24000000953674,8.0,1.71099996566772
InChI%3D1S%2FC12H10O3%2Fc13-9-1-5-11%286-2-9%2915-12-7-3-10%2814%294-8-12%2Fh1-8%2C13-14H,25.0,65.397102355957,0.0,0.400562405586243,12.0,12.0,0.0,0.63289999961853,15.0,2.0,2.45000004768372,16.0,1.5789999961853
InChI%3D1S%2FC7H6O2%2Fc8-5-6-3-1-2-4-7%286%299%2Fh1-5%2C9H,15.0,37.6351013183594,0.0,0.204575285315514,6.0,6.0,2.0,0.452300012111664,9.0,1.0,2.00999999046326,9.0,0.989000022411346
InChI%3D1S%2FC7H5BrO2%2Fc8-6-1-2-7%2810%295%283-6%294-9%2Fh1-4%2C10H,15.0,45.1693000793457,0.0,0.819024980068207,6.0,6.0,2.0,0.90499997138977,9.0,1.0,1.89999997615814,10.0,1.53100001811981
InChI%3D1S%2FC9H16O%2Fc1-5-9%284%2C10%297-6-8%282%293%2Fh1%2C8%2C10H%2C6-7H2%2C2-4H3,26.0,41.535701751709,7.0,2.38177490234375,0.0,0.0,10.0,1.54330003261566,2.0,3.0,2.33999991416931,9.0,2.40899991989136
InChI%3D1S%2FC7H8O%2Fc1-6-2-4-7%288%295-3-6%2Fh2-5%2C8H%2C1H3,16.0,36.8432998657227,0.0,1.65559685230255,6.0,6.0,0.0,1.28670001029968,7.0,0.0,2.11999988555908,8.0,1.33800005912781
InChI%3D1S%2FC8H8O%2Fc1-7-4-2-3-5-8%287%296-9%2Fh2-6H%2C1H3,17.0,40.3115997314453,0.0,2.13685917854309,6.0,6.0,1.0,1.4617999792099,8.0,1.0,2.23000001907349,9.0,1.45500004291534
InChI%3D1S%2FC8H7ClO2%2Fc1-11-8%2810%296-2-4-7%289%295-3-6%2Fh2-5H%2C1H3,18.0,46.440299987793,0.0,2.52079129219055,6.0,6.0,4.0,1.58770000934601,9.0,2.0,2.00999999046326,11.0,1.24699997901917
InChI%3D1S%2FC9H14O3%2Fc1-7%282%299%2810%2912-6-8-4-3-5-11-8%2Fh8H%2C1%2C3-6H2%2C2H3,26.0,40.9855003356934,3.0,0.0933302491903305,0.0,0.0,7.0,0.305500000715256,5.0,4.0,2.11999988555908,12.0,1.06700003147125
InChI%3D1S%2FC7H4F3NO3%2Fc8-7%289%2C10%295-3-4%2812%291-2-6%285%2911%2813%2914%2Fh1-3%2C12H,18.0,11.8850002288818,0.0,0.349517434835434,6.0,6.0,3.0,0.591199994087219,10.0,2.0,1.46000003814697,14.0,2.83400011062622
InChI%3D1S%2FC7H6O3.Na%2Fc8-6-4-2-1-3-5%286%297%289%2910%3B%2Fh1-4%2C8H%2C%28H%2C9%2C10%29%3B%2Fq%3B%2B1%2Fp-1,16.0,,0.0,,6.0,6.0,3.0,,10.0,1.0,1.78999996185303,10.0,1.71000003814697
InChI%3D1S%2FC3H6Br2O%2Fc4-1-3%285%292-6%2Fh3%2C6H%2C1-2H2,12.0,32.5850982666016,3.0,1.6643580198288,0.0,0.0,6.0,1.29009997844696,0.0,2.0,1.46000003814697,5.0,1.5809999704361
InChI%3D1S%2FC2HCl5%2Fc3-1%284%292%285%2C6%297%2Fh1H,8.0,36.3208999633789,2.0,8.33938884735107,0.0,0.0,7.0,2.88779997825623,0.0,1.0,1.12999999523163,6.0,3.22900009155273
InChI%3D1S%2FC8H10O%2Fc1-2-7-3-5-8%289%296-4-7%2Fh3-6%2C9H%2C2H2%2C1H3,19.0,41.6916999816895,2.0,0.905542552471161,6.0,6.0,2.0,0.951600015163422,7.0,1.0,2.23000001907349,9.0,1.80200004577637
InChI%3D1S%2FC10H8O%2Fc11-10-7-3-5-8-4-1-2-6-9%288%2910%2Fh1-7%2C11H,19.0,50.75830078125,0.0,1.91739404201508,10.0,11.0,0.0,1.38469994068146,11.0,0.0,2.45000004768372,12.0,1.87699997425079
InChI%3D1S%2FC4H5N%2Fc1-2-3-4-5%2Fh2H%2C1%2C3H2,10.0,20.8950004577637,4.0,0.603729009628296,0.0,0.0,5.0,0.77700001001358,2.0,1.0,1.78999996185303,4.0,0.675999999046326
InChI%3D1S%2FC8H4F3N%2Fc9-8%2810%2C11%297-3-1-2-6%284-7%295-12%2Fh1-4H,16.0,41.1487998962402,0.0,4.60102510452271,6.0,6.0,3.0,2.14499998092651,8.0,1.0,1.89999997615814,12.0,1.54799997806549
InChI%3D1S%2FC7H6N2O4%2Fc1-5-2-3-6%288%2810%2911%294-7%285%299%2812%2913%2Fh2-4H%2C1H3,19.0,11.273699760437,0.0,0.301181435585022,6.0,6.0,2.0,0.548799991607666,12.0,2.0,1.57000005245209,13.0,2.68199992179871
InChI%3D1S%2FC7H6BrNO%2Fc8-6-3-1-2-5%284-6%297%289%2910%2Fh1-4H%2C%28H2%2C9%2C10%29,16.0,45.7462997436523,0.0,2.49292516708374,6.0,6.0,3.0,1.57889997959137,9.0,1.0,1.89999997615814,10.0,1.50800001621246
InChI%3D1S%2FC8H6ClNO4%2Fc1-14-8%2811%296-3-2-5%289%294-7%286%2910%2812%2913%2Fh2-4H%2C1H3,20.0,39.2047996520996,0.0,0.116758890450001,6.0,6.0,4.0,0.341699987649918,12.0,3.0,1.67999994754791,14.0,0.975000023841858
InChI%3D1S%2FC10H24N4%2Fc11-3-1-5-13-7-9-14%2810-8-13%296-2-4-12%2Fh1-12H2,38.0,57.7610015869141,3.0,3.8282835483551,0.0,0.0,4.0,-1.95659995079041,0.0,6.0,2.11999988555908,14.0,-1.12999999523163
InChI%3D1S%2FC10H18O4%2Fc1-3-13-9%2811%297-5-6-8-10%2812%2914-4-2%2Fh3-8H2%2C1-2H3,32.0,47.4860000610352,6.0,0.000282240012893453,0.0,0.0,14.0,0.0167999994009733,3.0,9.0,2.11999988555908,13.0,1.49399995803833
